index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,1969-09-13,21,TV Series,Black Knight,male,possessed object,Suit,object,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Urban,United States,2,FALSE,TRUE,Mr. Wickles,Male,1,Theft,NA,NA,FALSE,2,1,1,0,0,0,1,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,1969-09-20,22,TV Series,Ghost of Cptn. Cuttler,male,ghost,Suit,human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,United States,2,TRUE,TRUE,Cptn. Cuttler,Male,1,Theft,NA,NA,FALSE,1,0,0,0,0,0,0,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,1969-09-27,21,TV Series,Phantom,male,ghost,Phantom,human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,0,TRUE,TRUE,Bluestone the Great,Male,1,Treasure,NA,NA,FALSE,3,0,0,0,0,0,0,0,1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,1969-10-04,21,TV Series,Miner 49'er,male,ancient,Miner,human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cave,California,2,FALSE,TRUE,Hank,Male,1,Natural Resource,NA,NA,FALSE,2,1,0,0,0,0,0,0,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,1969-10-11,21,TV Series,Indian Witch Doctor,female,ancient,Witch Doctor,human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Desert,United States,1,FALSE,TRUE,Buck Master,Male,1,Competition,NA,NA,FALSE,2,0,1,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,1969-10-18,21,TV Series,Ghost of Elias Kingston,male,ghost,Phantom,human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,2,FALSE,TRUE,Uncle Stuart,Male,1,Extortion,NA,NA,FALSE,4,0,0,0,1,0,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,1969-10-25,21,TV Series,Ape Man,male,animal,Half-Human,ape,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,United States,1,FALSE,TRUE,Carl,Male,1,Competition,NA,NA,FALSE,4,1,0,1,0,0,0,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,1969-11-01,21,TV Series,Charlie the Robot,male,mechanical,Humanoid,robot,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,FALSE,Sarah Jenkins,Female,1,Safety,NA,NA,TRUE,0,0,0,1,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,1969-11-08,21,TV Series,Puppet Master,male,ghost,Pupeteer,human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Urban,United States,1,FALSE,TRUE,Mr. Pietro,Male,1,Counterfeit,NA,NA,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,1969-11-15,21,TV Series,Ghost Clown,male,ghost,Clown,human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,TRUE,TRUE,Harry the Hypnotist,Male,1,Competition,NA,NA,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
